plant_ID,species,measured,Fv_Fm
C4,crithmifolius,Prior to watering,0.820
C4,crithmifolius,Prior to watering,0.822
C4,crithmifolius,Prior to watering,0.822
C4,crithmifolius,Prior to watering,0.809
C6,crithmifolius,Prior to watering,0.825
C6,crithmifolius,Prior to watering,0.827
C6,crithmifolius,Prior to watering,0.816
C6,crithmifolius,Prior to watering,0.798
C7,crithmifolius,Prior to watering,0.780
C7,crithmifolius,Prior to watering,0.800
C7,crithmifolius,Prior to watering,0.775
C7,crithmifolius,Prior to watering,0.798
C8,crithmifolius,Prior to watering,0.769
C8,crithmifolius,Prior to watering,0.824
C8,crithmifolius,Prior to watering,0.760
C8,crithmifolius,Prior to watering,0.806
L1,lobulatus,Prior to watering,0.829
L1,lobulatus,Prior to watering,0.824
L1,lobulatus,Prior to watering,0.851
L1,lobulatus,Prior to watering,0.857
L10,lobulatus,Prior to watering,0.824
L10,lobulatus,Prior to watering,0.824
L10,lobulatus,Prior to watering,0.836
L10,lobulatus,Prior to watering,0.842
L2,lobulatus,Prior to watering,0.809
L2,lobulatus,Prior to watering,0.864
L3,lobulatus,Prior to watering,0.824
L3,lobulatus,Prior to watering,0.822
L3,lobulatus,Prior to watering,0.824
L3,lobulatus,Prior to watering,0.816
L4,lobulatus,Prior to watering,0.835
L4,lobulatus,Prior to watering,0.838
L4,lobulatus,Prior to watering,0.822
L4,lobulatus,Prior to watering,0.820
L5,lobulatus,Prior to watering,0.849
L5,lobulatus,Prior to watering,0.846
L5,lobulatus,Prior to watering,0.871
L5,lobulatus,Prior to watering,0.864
L6,lobulatus,Prior to watering,0.809
L6,lobulatus,Prior to watering,0.811
L6,lobulatus,Prior to watering,0.843
L6,lobulatus,Prior to watering,0.825
L7,lobulatus,Prior to watering,0.829
L7,lobulatus,Prior to watering,0.842
L7,lobulatus,Prior to watering,0.829
L7,lobulatus,Prior to watering,0.838
L8,lobulatus,Prior to watering,0.820
L8,lobulatus,Prior to watering,0.835
L8,lobulatus,Prior to watering,0.841
L8,lobulatus,Prior to watering,0.841
L9,lobulatus,Prior to watering,0.816
L9,lobulatus,Prior to watering,0.824
L9,lobulatus,Prior to watering,0.839
L9,lobulatus,Prior to watering,0.838
M1,monroi_Hutt,Prior to watering,0.813
M1,monroi_Hutt,Prior to watering,0.798
M1,monroi_Hutt,Prior to watering,0.818
M1,monroi_Hutt,Prior to watering,0.798
M10,monroi_Hutt,Prior to watering,0.786
M10,monroi_Hutt,Prior to watering,0.802
M10,monroi_Hutt,Prior to watering,0.778
M10,monroi_Hutt,Prior to watering,0.766
M11,monroi_Porters,Prior to watering,0.820
M11,monroi_Porters,Prior to watering,0.835
M11,monroi_Porters,Prior to watering,0.825
M11,monroi_Porters,Prior to watering,0.843
M12,monroi_Porters,Prior to watering,0.829
M12,monroi_Porters,Prior to watering,0.833
M12,monroi_Porters,Prior to watering,0.847
M12,monroi_Porters,Prior to watering,0.832
M2,monroi_Hutt,Prior to watering,0.804
M2,monroi_Hutt,Prior to watering,0.798
M2,monroi_Hutt,Prior to watering,0.806
M2,monroi_Hutt,Prior to watering,0.788
M3,monroi_Porters,Prior to watering,0.851
M3,monroi_Porters,Prior to watering,0.847
M3,monroi_Porters,Prior to watering,0.862
M3,monroi_Porters,Prior to watering,0.865
M4,monroi_Porters,Prior to watering,0.800
M4,monroi_Porters,Prior to watering,0.824
M4,monroi_Porters,Prior to watering,0.802
M4,monroi_Porters,Prior to watering,0.791
M6,monroi_Porters,Prior to watering,0.835
M6,monroi_Porters,Prior to watering,0.843
